,Start_Lat,Start_Lng
2889255,41.518190000000004,-73.97878
504096,41.474072,-73.649231
3600152,40.839929999999995,-73.92926
2977655,40.816393,-73.89416700000001
196278,41.511238,-74.207207
1370360,42.906509,-74.56302600000001
3385575,43.19316,-77.591263
1650722,40.845261,-73.913719
3640747,40.681129999999996,-73.69403
2529222,40.622402,-73.93663000000001
2379211,40.900005,-73.796013
3719338,41.31992,-73.98048
2449881,43.051155,-76.145691
3065712,40.845061,-73.91653000000001
2059734,41.509865000000005,-74.074226
3952777,40.781279999999995,-73.9441
376327,40.785072,-73.648865
1632064,43.075024,-76.211922
2342697,40.809532,-73.90303
1282947,41.194447,-73.686211
2523559,40.799492,-73.490967
764490,40.732128,-73.84300999999999
3745555,42.391674,-73.82533000000001
644900,43.13625,-77.588722
1950642,41.025585,-73.731339
3903103,40.60154,-74.060994
2354273,40.740101,-73.845428
2799850,43.05166,-76.1369
1063530,41.408530999999996,-73.786781
2798721,40.841539000000004,-73.928427
1803780,43.193302,-77.592201
2125176,40.844639,-73.275841
3627690,40.62202,-73.98725999999999
1852751,42.838596,-73.673615
848574,43.180939,-77.631737
4124696,40.836490000000005,-73.87673000000001
564393,40.82338,-73.82112099999999
3470727,40.98735,-73.68024
3632190,40.74058,-73.83694
210139,40.9949,-73.87838
2172527,42.154011,-76.821297
2091103,40.928406,-73.839813
3905153,42.513870000000004,-78.73888000000001
1192929,41.116219,-74.11216
4039768,40.80721,-73.23011
2034875,40.67942,-74.00359300000001
3960717,40.769,-73.06154000000001
2821481,43.052620000000005,-76.1507
3852244,40.8138,-73.96512
2547067,43.044216,-76.137817
2043769,41.539314000000005,-73.771141
3609337,40.74838,-73.16331
3547715,43.09244,-76.17163000000001
1608234,41.100173999999996,-73.95307199999999
3101888,43.197342,-77.63497199999999
2654747,43.205101,-77.474625
2395601,43.14996,-77.667702
3360881,41.95345,-73.75425600000001
1098756,40.760345,-73.847931
503790,41.264126,-73.68420400000001
200927,40.603325,-74.066895
1097944,42.949474,-78.702972
1810426,40.745975,-73.278908
3274045,40.823403000000006,-72.98971999999999
886497,41.058102000000005,-73.833344
1114522,42.667122,-73.733002
2407518,43.119667,-76.214989
3171164,40.709291,-73.99423900000001
3931122,42.63725,-73.7564
2879301,41.14873,-73.82392
475880,41.474072,-73.649231
3377572,43.150816,-77.635343
570706,40.711151,-73.727997
1810303,42.971165,-73.792946
1191419,42.771496,-73.975487
4160101,40.79202,-73.92481
3508955,40.836870000000005,-73.87366999999999
1978589,41.579193,-73.909103
1568259,40.702507000000004,-73.321587
199840,40.743854999999996,-73.73268900000001
3131692,42.816199,-78.79211
1411389,41.264046,-73.683937
1519823,43.135738,-77.640739
990415,41.948406,-74.026466
2713996,42.013718,-73.906281
880137,40.722881,-73.827568
1585605,43.11618,-76.217087
742919,40.781566999999995,-73.928055
3617648,40.96049,-73.73999
1358652,43.241779,-77.630707
535717,40.783703,-73.94309200000001
1534340,40.891059999999996,-73.006813
2196141,40.717461,-73.831429
3048687,42.950866999999995,-78.711773
2541583,41.184818,-73.807404
212929,40.987408,-73.670479
2321762,43.101681,-73.64915500000001
1255932,42.906890999999995,-74.562363
911238,40.696838,-73.837158
3917899,42.18002,-76.065676
3335139,40.782569,-73.58519100000001
3098449,43.055853000000006,-76.170428
2972932,41.423846999999995,-73.628771
3098189,40.978811,-73.868161
1002028,40.746658000000004,-73.96934499999999
2792601,40.80901,-73.19754
421564,40.722198,-73.580528
2922224,41.047051,-73.803692
